,res_id,filetype,filesize_mb,event,duration_microsec
648,resource_323,,0,looping overhead,169
649,resource_324,,0,resource creation,123869
650,resource_324,,0,looping overhead,105
651,resource_325,,0,resource creation,169840
652,resource_325,,0,looping overhead,115
653,resource_326,,0,resource creation,169263
654,resource_326,,0,looping overhead,112
655,resource_327,,0,resource creation,119429
656,resource_327,,0,looping overhead,112
657,resource_328,,0,resource creation,154128
658,resource_328,,0,looping overhead,120
659,resource_329,,0,resource creation,128468
660,resource_329,,0,looping overhead,191
661,resource_330,,0,resource creation,152572
662,resource_330,,0,looping overhead,112
663,resource_331,,0,resource creation,135712
664,resource_331,,0,looping overhead,103
665,resource_332,,0,resource creation,149322
666,resource_332,,0,looping overhead,103
667,resource_333,,0,resource creation,150275
668,resource_333,,0,looping overhead,101
669,resource_334,,0,resource creation,121663
670,resource_334,,0,looping overhead,110
671,resource_335,,0,resource creation,154901
672,resource_335,,0,looping overhead,109
673,resource_336,,0,resource creation,127058
674,resource_336,,0,looping overhead,122
675,resource_337,,0,resource creation,147363
676,resource_337,,0,looping overhead,106
677,resource_338,,0,resource creation,141587
678,resource_338,,0,looping overhead,107
679,resource_339,,0,resource creation,193803
680,resource_339,,0,looping overhead,107
681,resource_340,,0,resource creation,153514
682,resource_340,,0,looping overhead,99
683,resource_341,,0,resource creation,131527
684,resource_341,,0,looping overhead,140
685,resource_342,,0,resource creation,147097
686,resource_342,,0,looping overhead,125
687,resource_343,,0,resource creation,120660
688,resource_343,,0,looping overhead,107
689,resource_344,,0,resource creation,143721
690,resource_344,,0,looping overhead,142
691,resource_345,,0,resource creation,137868
692,resource_345,,0,looping overhead,127
693,resource_346,,0,resource creation,207517
694,resource_346,,0,looping overhead,169
695,resource_347,,0,resource creation,179346
696,resource_347,,0,looping overhead,146
697,resource_348,,0,resource creation,150024
698,resource_348,,0,looping overhead,153
699,resource_349,,0,resource creation,193327
700,resource_349,,0,looping overhead,137
701,resource_350,,0,resource creation,177158
702,resource_350,,0,looping overhead,222
703,resource_351,,0,resource creation,225958
704,resource_351,,0,looping overhead,191
705,resource_352,,0,resource creation,155935
706,resource_352,,0,looping overhead,158
707,resource_353,,0,resource creation,283328
708,resource_353,,0,looping overhead,147
709,resource_354,,0,resource creation,201699
710,resource_354,,0,looping overhead,113
711,resource_355,,0,resource creation,136884
712,resource_355,,0,looping overhead,124
713,resource_356,,0,resource creation,164773
714,resource_356,,0,looping overhead,127
715,resource_357,,0,resource creation,140770
716,resource_357,,0,looping overhead,199
717,resource_358,,0,resource creation,183736
718,resource_358,,0,looping overhead,143
719,resource_359,,0,resource creation,165887
720,resource_359,,0,looping overhead,119
721,resource_360,,0,resource creation,161524
722,resource_360,,0,looping overhead,172
723,resource_361,,0,resource creation,177494
724,resource_361,,0,looping overhead,133
725,resource_362,,0,resource creation,180637
726,resource_362,,0,looping overhead,168
727,resource_363,,0,resource creation,182828
728,resource_363,,0,looping overhead,204
729,resource_364,,0,resource creation,132917
730,resource_364,,0,looping overhead,110
731,resource_365,,0,resource creation,143683
732,resource_365,,0,looping overhead,103
733,resource_366,,0,resource creation,137383
734,resource_366,,0,looping overhead,108
735,resource_367,,0,resource creation,169001
736,resource_367,,0,looping overhead,109
737,resource_368,,0,resource creation,218706
738,resource_368,,0,looping overhead,110
739,resource_369,,0,resource creation,131959
740,resource_369,,0,looping overhead,120
741,resource_370,,0,resource creation,167895
742,resource_370,,0,looping overhead,108
743,resource_371,,0,resource creation,130192
744,resource_371,,0,looping overhead,116
745,resource_372,,0,resource creation,178908
746,resource_372,,0,looping overhead,140
747,resource_373,,0,resource creation,144771
748,resource_373,,0,looping overhead,111
749,resource_374,,0,resource creation,143203
750,resource_374,,0,looping overhead,111
751,resource_375,,0,resource creation,224218
752,resource_375,,0,looping overhead,118
753,resource_376,,0,resource creation,134583
754,resource_376,,0,looping overhead,171
755,resource_377,,0,resource creation,158850
756,resource_377,,0,looping overhead,142
757,resource_378,,0,resource creation,126468
758,resource_378,,0,looping overhead,109
759,resource_379,,0,resource creation,149287
760,resource_379,,0,looping overhead,110
761,resource_380,,0,resource creation,126215
762,resource_380,,0,looping overhead,110
763,resource_381,,0,resource creation,139634
764,resource_381,,0,looping overhead,105
765,resource_382,,0,resource creation,153493
766,resource_382,,0,looping overhead,109
767,resource_383,,0,resource creation,116043
768,resource_383,,0,looping overhead,118
